2025-08-17 01:03:04 | DEBUG    | utils:test_func:13 - test_debug
2025-08-17 01:03:04 | CRITICAL | utils:test_func:14 - test_critical
2025-08-17 01:03:05 | DEBUG    | decorators:wrapper:49 - Completed test_func
2025-08-17 01:05:49 | INFO     | test_logging:setup_logging:52 - Logging configured
2025-08-17 01:05:49 | DEBUG    | __main__:<module>:3 - Calling test_func
2025-08-17 01:05:49 | INFO     | utils:test_func:10 - test_info
2025-08-17 01:05:49 | ERROR    | utils:test_func:11 - test_error
2025-08-17 01:05:49 | WARNING  | utils:test_func:12 - test_warning
2025-08-17 01:05:49 | DEBUG    | utils:test_func:13 - test_debug
2025-08-17 01:05:49 | CRITICAL | utils:test_func:14 - test_critical
2025-08-17 01:05:50 | DEBUG    | decorators:wrapper:49 - Completed test_func
2025-08-17 01:08:45 | DEBUG    | __main__:<module>:3 - Calling test_func
2025-08-17 01:08:45 | INFO     | datasets.utils2:test_func:10 - test_info
2025-08-17 01:08:45 | ERROR    | datasets.utils2:test_func:11 - test_error
2025-08-17 01:08:45 | WARNING  | datasets.utils2:test_func:12 - test_warning
2025-08-17 01:08:45 | DEBUG    | datasets.utils2:test_func:13 - test_debug
2025-08-17 01:08:45 | CRITICAL | datasets.utils2:test_func:14 - test_critical
2025-08-17 01:08:46 | DEBUG    | decorators:wrapper:49 - Completed test_func
2025-08-17 01:09:40 | INFO     | __main__:<module>:2 - helo
2025-08-17 01:09:40 | INFO     | test_logging:setup_logging:60 - Logging configured
2025-08-17 01:09:40 | DEBUG    | __main__:<module>:3 - Calling test_func
2025-08-17 01:09:40 | INFO     | datasets.utils2:test_func:10 - test_info
2025-08-17 01:09:40 | ERROR    | datasets.utils2:test_func:11 - test_error
2025-08-17 01:09:40 | WARNING  | datasets.utils2:test_func:12 - test_warning
2025-08-17 01:09:40 | DEBUG    | datasets.utils2:test_func:13 - test_debug
2025-08-17 01:09:40 | CRITICAL | datasets.utils2:test_func:14 - test_critical
2025-08-17 01:09:41 | DEBUG    | decorators:wrapper:49 - Completed test_func
2025-08-17 01:16:35 | INFO     | test_logging:setup_logging:60 - Logging configured
2025-08-17 01:17:37 | INFO     | test_logging:setup_logging:60 - Logging configured
2025-08-17 01:27:22 | INFO     | test_logging:setup_logging:60 - Logging configured
